Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7u,
C10,0603,1,1u,
C11,0603,1,100n,
C12,0603,1,100n,
C13,0603,1,100n,
C14,0603,1,100n,
C15,0603,1,100n,
C16,0603,1,100n,
C17,0603,1,100n,
C18,0603,1,100n,
C19,0603,1,100n,
C2,0603,1,100n,
C20,0603,1,100n,
C21,0603,1,2.2u,
C22,0603,1,2.2u,
C23,0603,1,27p,
C24,0603,1,27p,
C25,0603,1,10u,
C26,0603,1,10u,
C27,0603,1,15u,
C28,0603,1,10u,
C29,0603,1,10u,
C3,0603,1,100n,
C30,0603,1,15u,
C31,0603,1,6.8n,
C32,0603,1,120p,
C33,0603,1,10u,
C34,0603,1,0.1u,
"C35, C58, C75",CP_Radial_D4.0mm_P1.50mm,3,47u,
C36,0603,1,0.1u,
C37,0603,1,2.2u,
C38,0603,1,0.1u,
C39,0603,1,22n,
C4,0603,1,100n,
C40,0603,1,0.1u,
C41,0603,1,1n,
C42,0603,1,1n,
C43,0603,1,1u,
C44,0603,1,1u,
C45,0603,1,10u,
C46,0603,1,10u,
C47,0603,1,10u,
C48,0603,1,10u,
C49,0603,1,10u,
C5,0603,1,100n,
C50,0603,1,15u,
C51,0603,1,10u,
C52,0603,1,10u,
C53,0603,1,15u,
C54,0603,1,6.8n,
C55,0603,1,120p,
C56,0603,1,10u,
C57,0603,1,0.1u,
C59,0603,1,0.1u,
C6,0603,1,2.2u,
C60,0603,1,2.2u,
C61,0603,1,0.1u,
C62,0603,1,22n,
C63,0603,1,0.1u,
C64,0603,1,1n,
C65,0603,1,1n,
C66,0603,1,1u,
C67,0603,1,1u,
C68,0603,1,10u,
C69,0603,1,10u,
C7,0603,1,2.2u,
C70,0603,1,10u,
C76,0603,1,2.2u,
C77,0603,1,2.2u,
C79,0603,1,100n,
C8,0603,1,1u,
C9,0603,1,1u,
"D1, D2, D3, D4",D_SMA,4,1N5819,
D5,0402,1,LED,
D6,0402,1,LED,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Debug Connector,
J2,MOLEX_1050170001,1,USB_MICRO,
J4,PinHeader_1x03_P2.54mm_Vertical,1,SERVO,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
"L1, L2",L_Taiyo-Yuden_NR-30xx,2,22u,
PS1,SOT-223,1,TC2117-3.3VDBTR,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-220-3_Vertical,12,IRF3205,
R1,0603,1,10k,
R10,0603,1,100,
R11,0603,1,2k2,
R12,0603,1,39k,
R13,0603,1,2k2,
R14,0603,1,100,
R15,0603,1,39k,
R16,0603,1,100,
R17,0603,1,2k2,
R18,0603,1,15k,
R19,0603,1,31k6,
R2,0603,1,15k,
R20,0603,1,220k,
R21,0603,1,10k,
R22,0603,1,10k,
R23,0603,1,10k,
R24,0603,1,39k,
R25,0603,1,100,
R26,0603,1,100,
R27,0603,1,2k2,
R28,0603,1,39k,
R29,0603,1,2k2,
R3,0603,1,31k6,
R30,0603,1,100,
R31,0603,1,39k,
R32,0603,1,100,
R33,0603,1,2k2,
R34,0805,1,4R7,
R35,0805,1,4R7,
R36,0805,1,4R7,
R37,0805,1,4R7,
R38,0805,1,4R7,
R39,0805,1,4R7,
R4,0603,1,220k,
R40,0805,1,39k,
R41,0805,1,39k,
R42,0805,1,39k,
R43,0805,1,4R7,
R44,0805,1,4R7,
R45,0805,1,4R7,
R46,0805,1,4R7,
R47,0805,1,4R7,
R48,0805,1,4R7,
R49,0805,1,39k,
R5,0603,1,10k,
R50,0805,1,39k,
R51,0805,1,39k,
R52,0603,1,2k2,
R53,0603,1,39k,
R54,0603,1,0,
R55,0603,1,22,
R56,0603,1,22,
R57,0603,1,1k5,
R58,2512,1,SHUNT,
R59,2512,1,SHUNT,
R6,0603,1,10k,
R60,2512,1,SHUNT,
R61,2512,1,SHUNT,
R62,0603,1,2k2,
R63,0603,1,0,
R64,0603,1,0,
R65,0603,1,220,
R66,0603,1,100,
R7,0603,1,10k,
R71,0603,1,10k,
R72,0603,1,10k,
R8,0603,1,39k,
R9,0603,1,100,
SW1,SW_CuK_JS202011CQN_DPDT_Straight,1,SW_SPDT,
TH1,0603,1,Thermistor_PTC,
TH2,0603,1,Thermistor_PTC,
TP1,MOTOR_PAD,1,M_1A,
TP2,MOTOR_PAD,1,M_2A,
TP3,MOTOR_PAD,1,M_3A,
TP4,MOTOR_PAD,1,M_1B,
TP5,MOTOR_PAD,1,M_2B,
TP6,MOTOR_PAD,1,M_3B,
U1,LQFP-144_20x20mm_P0.5mm,1,STM32F407ZGT6,
"U2, U3",HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,2,DRV8301DCAR,
U5,nRF24L01_Breakout,1,NRF24L01_Breakout,
Y1,Oscillator_SMD_TXC_7C-4Pin_5.0x3.2mm,1,25MHz,
